run_id,run_mode,backtest_start_date,backtest_end_date,report_generated_at_utc,sector,feature,importance,importance_share,rank
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Automobiles,ma_50_200_ratio,132.0,0.20465116279069767,1
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Automobiles,amihud_1m,129.0,0.2,2
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Automobiles,mom_12m_skip1m,124.0,0.19224806201550387,3
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Automobiles,vol_3m,124.0,0.19224806201550387,4
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Automobiles,ret_3m,76.0,0.11782945736434108,5
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Automobiles,mom_accel_3m_6m,60.0,0.09302325581395349,6
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Banking,vol_3m,166.0,0.23413258110014104,1
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Banking,ma_50_200_ratio,155.0,0.21861777150916784,2
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Banking,amihud_1m,143.0,0.2016925246826516,3
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Banking,mom_12m_skip1m,93.0,0.1311706629055007,4
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Banking,ret_3m,84.0,0.11847672778561354,5
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Banking,mom_accel_3m_6m,68.0,0.09590973201692525,6
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,CapitalGoods,vol_3m,153.0,0.20536912751677852,1
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,CapitalGoods,ma_50_200_ratio,144.0,0.19328859060402684,2
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,CapitalGoods,mom_12m_skip1m,138.0,0.18523489932885906,3
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,CapitalGoods,amihud_1m,122.0,0.16375838926174496,4
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,CapitalGoods,mom_accel_3m_6m,104.0,0.1395973154362416,5
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,CapitalGoods,ret_3m,84.0,0.11275167785234899,6
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Cement,amihud_1m,151.0,0.20798898071625344,1
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Cement,vol_3m,144.0,0.19834710743801653,2
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Cement,mom_12m_skip1m,134.0,0.18457300275482094,3
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Cement,ma_50_200_ratio,127.0,0.174931129476584,4
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Cement,ret_3m,90.0,0.12396694214876033,5
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Cement,mom_accel_3m_6m,80.0,0.11019283746556474,6
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Chemicals,vol_3m,178.0,0.2557471264367816,1
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Chemicals,ma_50_200_ratio,152.0,0.21839080459770116,2
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Chemicals,amihud_1m,118.0,0.16954022988505746,3
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Chemicals,mom_12m_skip1m,100.0,0.14367816091954022,4
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Chemicals,ret_3m,81.0,0.11637931034482758,5
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Chemicals,mom_accel_3m_6m,67.0,0.09626436781609195,6
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,ConsumerDiscretionary,ma_50_200_ratio,128.0,0.2188034188034188,1
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,ConsumerDiscretionary,vol_3m,123.0,0.21025641025641026,2
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,ConsumerDiscretionary,mom_12m_skip1m,105.0,0.1794871794871795,3
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,ConsumerDiscretionary,amihud_1m,99.0,0.16923076923076924,4
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,ConsumerDiscretionary,ret_3m,67.0,0.11452991452991453,5
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,ConsumerDiscretionary,mom_accel_3m_6m,63.0,0.1076923076923077,6
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Energy,ma_50_200_ratio,144.0,0.19889502762430938,1
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Energy,amihud_1m,139.0,0.1919889502762431,2
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Energy,vol_3m,135.0,0.18646408839779005,3
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Energy,mom_accel_3m_6m,106.0,0.1464088397790055,4
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Energy,ret_3m,103.0,0.14226519337016574,5
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,Energy,mom_12m_skip1m,97.0,0.13397790055248618,6
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,FMCG,ma_50_200_ratio,164.0,0.24260355029585798,1
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,FMCG,mom_12m_skip1m,129.0,0.1908284023668639,2
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,FMCG,vol_3m,117.0,0.17307692307692307,3
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,FMCG,mom_accel_3m_6m,101.0,0.14940828402366865,4
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,FMCG,amihud_1m,94.0,0.1390532544378698,5
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,FMCG,ret_3m,71.0,0.10502958579881656,6
optimizer_only_2013_01_01_2026_04_17_20260421T171734Z,optimizer_only,2013-01-01,2026-04-17,2026-04-21T17:17:34Z,FinancialServices,vol_3m,166.0,0.24198250728862974,1
