date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_FinancialServices,tilt_ConsumerDiscretionary,tilt_Automobiles,tilt_Telecom,tilt_FMCG,tilt_Metals,tilt_Healthcare,tilt_IT,tilt_RealEstate,tilt_Pharma,tilt_Energy,tilt_Banking,tilt_Cement,tilt_CapitalGoods,tilt_Chemicals
2015-01-01,RL,500000.0,499299.5,-0.14,-0.14,5,60.0,40.06,500.5,5,0,"ITC.NS,MARUTI.NS,SUNPHARMA.NS,TATASTEEL.NS,ULTRACEMCO.NS",,ITC.NS:8.0%|MARUTI.NS:8.0%|ULTRACEMCO.NS:8.0%|SUNPHARMA.NS:8.0%|TATASTEEL.NS:8.0%,FinancialServices×1.3|Banking×1.2|FMCG×1.2,Metals×0.8|Energy×0.8,1.0,False,1.321,0.975,1.201,0.988,1.207,0.776,0.929,0.993,0.917,1.084,0.82,1.22,1.187,1.039,0.973
2015-01-29,RL,514673.3,514045.68,-0.122,2.809,5,60.0,18.33,448.29,3,4,"BHARTIARTL.NS,HDFCBANK.NS","ITC.NS,MARUTI.NS",HDFCBANK.NS:8.0%|SUNPHARMA.NS:8.0%|BHARTIARTL.NS:8.0%|ULTRACEMCO.NS:8.0%|TATASTEEL.NS:8.0%,Automobiles×1.4|Banking×1.3|FinancialServices×1.3,Energy×0.8|Healthcare×0.9|Metals×0.9,1.0,False,1.257,1.083,1.358,0.948,1.204,0.864,0.856,1.1,0.883,0.994,0.798,1.303,0.922,1.022,1.144
2015-02-26,RL,514045.68,499379.1,-2.853,-0.124,5,60.0,1.71,21.35,5,0,,,ULTRACEMCO.NS:8.0%|SUNPHARMA.NS:8.0%|HDFCBANK.NS:8.0%|BHARTIARTL.NS:8.0%|TATASTEEL.NS:8.0%,FMCG×1.3|CapitalGoods×1.2|FinancialServices×1.2,Metals×0.8|ConsumerDiscretionary×0.9,1.0,False,1.174,0.883,1.118,0.929,1.275,0.835,0.959,1.038,0.977,1.031,0.916,0.987,1.071,1.196,1.124
2015-03-26,RL,505543.98,505188.14,-0.07,1.038,5,60.0,10.42,254.17,4,2,RELIANCE.NS,SUNPHARMA.NS,RELIANCE.NS:8.0%|ULTRACEMCO.NS:8.0%|BHARTIARTL.NS:8.0%|HDFCBANK.NS:8.0%|TATASTEEL.NS:8.0%,FMCG×1.2|CapitalGoods×1.2|Pharma×1.1,,1.0,False,0.961,1.112,0.998,0.93,1.242,0.923,0.968,0.999,0.94,1.132,1.032,0.928,0.97,1.207,1.04
2015-04-23,RL,513724.46,513399.77,-0.063,2.68,5,60.0,9.54,231.92,4,2,TCS.NS,RELIANCE.NS,BHARTIARTL.NS:8.0%|HDFCBANK.NS:8.0%|ULTRACEMCO.NS:8.0%|TATASTEEL.NS:8.0%|TCS.NS:8.0%,Chemicals×1.3|ConsumerDiscretionary×1.2|FMCG×1.2,Healthcare×0.8|FinancialServices×0.9,1.0,False,0.85,1.221,1.165,1.008,1.178,0.948,0.844,0.946,0.925,1.113,1.0,1.008,0.957,1.068,1.299
2015-05-21,RL,517187.85,516862.32,-0.063,3.372,5,60.0,9.21,232.52,3,3,INFY.NS,ULTRACEMCO.NS,BHARTIARTL.NS:8.0%|TCS.NS:8.0%|INFY.NS:8.0%|TATASTEEL.NS:8.0%|HDFCBANK.NS:8.0%,Telecom×1.3,Healthcare×0.8,1.0,False,1.027,1.041,1.042,1.27,1.04,1.006,0.797,1.012,1.093,1.03,1.013,0.964,1.016,1.017,0.936
2015-06-18,RL,516862.32,514493.75,-0.458,2.899,5,60.0,8.89,225.6,3,3,ULTRACEMCO.NS,INFY.NS,TATASTEEL.NS:8.0%|ULTRACEMCO.NS:8.0%|TCS.NS:8.0%|BHARTIARTL.NS:8.0%|HDFCBANK.NS:8.0%,Metals×1.3|Automobiles×1.2|FinancialServices×1.2,Healthcare×0.8,1.0,False,1.165,0.985,1.2,0.919,1.081,1.336,0.806,1.021,1.017,0.937,1.101,0.908,1.058,1.079,0.916
2015-07-16,RL,521097.73,520759.25,-0.065,4.152,5,60.0,9.67,241.77,4,2,INFY.NS,ULTRACEMCO.NS,TATASTEEL.NS:8.0%|HDFCBANK.NS:8.0%|INFY.NS:8.0%|TCS.NS:8.0%|BHARTIARTL.NS:8.0%,Pharma×1.2|Metals×1.2|FMCG×1.1,Healthcare×0.7|Telecom×0.8,1.0,False,1.071,1.024,1.119,0.849,1.142,1.169,0.739,1.116,0.949,1.192,1.028,1.132,0.959,1.091,0.962
2015-08-13,RL,520759.25,517819.06,-0.565,3.564,5,60.0,17.83,458.0,4,3,"MARUTI.NS,RELIANCE.NS","HDFCBANK.NS,TCS.NS",MARUTI.NS:8.0%|TATASTEEL.NS:8.0%|INFY.NS:8.0%|RELIANCE.NS:8.0%|BHARTIARTL.NS:8.0%,Pharma×1.2|Automobiles×1.2|FMCG×1.2,Healthcare×0.8|Cement×0.8|Telecom×0.9,1.0,False,1.043,0.972,1.201,0.881,1.157,1.156,0.818,1.142,0.994,1.209,0.94,1.058,0.839,1.154,0.995
2015-09-10,RL,517819.06,507714.92,-1.951,1.543,5,60.0,9.53,227.3,5,1,ITC.NS,TATASTEEL.NS,RELIANCE.NS:8.0%|INFY.NS:8.0%|ITC.NS:8.0%|MARUTI.NS:8.0%|BHARTIARTL.NS:8.0%,Metals×1.8|Energy×1.4|CapitalGoods×1.2,Chemicals×0.8|Healthcare×0.9|RealEstate×0.9,1.0,False,0.92,0.964,1.039,0.91,1.045,1.779,0.858,1.073,0.888,0.906,1.396,0.928,1.13,1.199,0.797
