sector,feature,importance,importance_share,rank
Automobiles,max_dd_3m,129.0,0.1902654867256637,1
Automobiles,ma_50_200_ratio,120.0,0.17699115044247787,2
Automobiles,amihud_1m,113.0,0.16666666666666666,3
Automobiles,vol_3m,109.0,0.1607669616519174,4
Automobiles,mom_12m_skip1m,95.0,0.140117994100295,5
Automobiles,ret_3m,62.0,0.09144542772861357,6
Automobiles,mom_accel_3m_6m,50.0,0.07374631268436578,7
Banking,max_dd_3m,135.0,0.2042360060514372,1
Banking,vol_3m,115.0,0.17397881996974282,2
Banking,amihud_1m,111.0,0.16792738275340394,3
Banking,ma_50_200_ratio,104.0,0.1573373676248109,4
Banking,mom_12m_skip1m,69.0,0.1043872919818457,5
Banking,ret_3m,66.0,0.09984871406959153,6
Banking,mom_accel_3m_6m,61.0,0.09228441754916793,7
CapitalGoods,max_dd_3m,141.0,0.18335500650195058,1
CapitalGoods,ma_50_200_ratio,126.0,0.16384915474642392,2
CapitalGoods,mom_12m_skip1m,123.0,0.1599479843953186,3
CapitalGoods,amihud_1m,117.0,0.15214564369310793,4
CapitalGoods,vol_3m,96.0,0.12483745123537061,5
CapitalGoods,mom_accel_3m_6m,91.0,0.11833550065019506,6
CapitalGoods,ret_3m,75.0,0.09752925877763328,7
Cement,amihud_1m,128.0,0.19393939393939394,1
Cement,max_dd_3m,127.0,0.19242424242424241,2
Cement,vol_3m,119.0,0.1803030303030303,3
Cement,mom_12m_skip1m,106.0,0.1606060606060606,4
Cement,ma_50_200_ratio,78.0,0.11818181818181818,5
Cement,mom_accel_3m_6m,52.0,0.07878787878787878,6
Cement,ret_3m,50.0,0.07575757575757576,7
Chemicals,max_dd_3m,138.0,0.1977077363896848,1
Chemicals,vol_3m,133.0,0.19054441260744986,2
Chemicals,ma_50_200_ratio,108.0,0.15472779369627507,3
Chemicals,amihud_1m,106.0,0.1518624641833811,4
Chemicals,mom_12m_skip1m,102.0,0.14613180515759314,5
Chemicals,ret_3m,59.0,0.08452722063037249,6
Chemicals,mom_accel_3m_6m,52.0,0.07449856733524356,7
ConsumerDiscretionary,max_dd_3m,116.0,0.1829652996845426,1
ConsumerDiscretionary,ma_50_200_ratio,111.0,0.1750788643533123,2
ConsumerDiscretionary,amihud_1m,110.0,0.17350157728706625,3
