run_id,run_mode,backtest_start_date,backtest_end_date,report_generated_at_utc,date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Automobiles,tilt_Banking,tilt_CapitalGoods,tilt_Cement,tilt_Chemicals,tilt_ConsumerDiscretionary,tilt_Energy,tilt_FMCG,tilt_FinancialServices,tilt_Healthcare,tilt_IT,tilt_Metals,tilt_Pharma,tilt_RealEstate,tilt_Telecom
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-01-01,RL,500000.0,499439.6,-0.112,-0.112,4,68.0,32.04,400.4,4,0,"HDFCBANK.NS,ITC.NS,MARUTI.NS,ULTRACEMCO.NS",,ULTRACEMCO.NS:8.0%|MARUTI.NS:8.0%|ITC.NS:8.0%|HDFCBANK.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-01-29,RL,517460.71,517127.66,-0.064,3.426,2,84.0,18.39,237.83,0,4,,"ITC.NS,ULTRACEMCO.NS",HDFCBANK.NS:8.0%|MARUTI.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-02-26,RL,517127.66,512393.4,-0.915,2.479,3,76.0,16.37,307.82,3,1,"ITC.NS,SUNPHARMA.NS",HDFCBANK.NS,SUNPHARMA.NS:8.0%|MARUTI.NS:8.0%|ITC.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-03-26,RL,513233.1,512602.08,-0.123,2.52,5,60.0,25.53,450.78,4,2,"INFY.NS,RELIANCE.NS,TCS.NS",MARUTI.NS,RELIANCE.NS:8.0%|TCS.NS:8.0%|SUNPHARMA.NS:8.0%|INFY.NS:8.0%|ITC.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-04-23,RL,512672.87,512375.92,-0.058,2.475,3,76.0,16.3,212.04,2,3,,"RELIANCE.NS,SUNPHARMA.NS",TCS.NS:8.0%|INFY.NS:8.0%|ITC.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-05-21,RL,512375.92,510815.52,-0.305,2.163,3,76.0,0.57,11.69,2,1,,,TCS.NS:8.0%|INFY.NS:8.0%|ITC.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-06-18,RL,510815.52,507383.15,-0.672,1.477,4,68.0,24.47,513.97,4,2,"MARUTI.NS,RELIANCE.NS,TATASTEEL.NS","INFY.NS,TCS.NS",TATASTEEL.NS:8.0%|RELIANCE.NS:8.0%|MARUTI.NS:8.0%|ITC.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-07-16,RL,511675.05,511354.04,-0.063,2.271,4,68.0,9.26,229.29,2,3,SUNPHARMA.NS,ITC.NS,TATASTEEL.NS:8.0%|MARUTI.NS:8.0%|RELIANCE.NS:8.0%|SUNPHARMA.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-08-13,RL,511354.04,501644.09,-1.899,0.329,4,68.0,17.45,421.95,4,2,"INFY.NS,TCS.NS","MARUTI.NS,RELIANCE.NS",INFY.NS:8.0%|TATASTEEL.NS:8.0%|SUNPHARMA.NS:8.0%|TCS.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-09-10,RL,501644.09,496637.81,-0.998,-0.672,2,84.0,15.66,197.87,1,3,,"INFY.NS,TCS.NS",TATASTEEL.NS:8.0%|SUNPHARMA.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-10-08,RL,500332.76,500040.14,-0.058,0.008,4,68.0,16.05,209.07,3,1,"MARUTI.NS,RELIANCE.NS",,TATASTEEL.NS:8.0%|RELIANCE.NS:8.0%|MARUTI.NS:8.0%|SUNPHARMA.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-11-05,RL,500040.14,496514.1,-0.705,-0.697,5,60.0,17.29,324.6,4,2,"INFY.NS,TCS.NS",RELIANCE.NS,SUNPHARMA.NS:8.0%|TATASTEEL.NS:8.0%|MARUTI.NS:8.0%|INFY.NS:8.0%|TCS.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-12-03,RL,496514.1,490676.0,-1.176,-1.865,3,76.0,24.11,402.86,3,3,HDFCBANK.NS,"MARUTI.NS,SUNPHARMA.NS,TATASTEEL.NS",HDFCBANK.NS:8.0%|INFY.NS:8.0%|TCS.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2015-12-31,RL,494082.86,494073.12,-0.002,-1.185,3,76.0,0.56,6.96,1,2,,,HDFCBANK.NS:8.0%|TCS.NS:8.0%|INFY.NS:8.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-01-28,RL,494073.12,489496.71,-0.926,-2.101,24,0.0,95.82,1412.24,23,3,"AARTIIND.NS,ACC.NS,AMBUJACEM.NS,COFORGE.NS,COLPAL.NS,DABUR.NS,DLF.NS,GODREJCP.NS,GODREJPROP.NS,GRASIM.NS,HCLTECH.NS,HINDUNILVR.NS,MARICO.NS,MPHASIS.NS,NAVINFLUOR.NS,OBEROIRLTY.NS,PIIND.NS,PRESTIGE.NS,RAMCOCEM.NS,SRF.NS,TATAELXSI.NS,ULTRACEMCO.NS,VINATIORGA.NS","HDFCBANK.NS,TCS.NS",NAVINFLUOR.NS:4.2%|RAMCOCEM.NS:4.2%|MARICO.NS:4.2%|TATAELXSI.NS:4.2%|COFORGE.NS:4.2%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-02-25,RL,489496.71,455978.63,-6.847,-8.804,25,0.0,71.92,1645.01,19,23,"BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,CHOLAFIN.NS,COALINDIA.NS,EICHERMOT.NS,HEROMOTOCO.NS,HINDALCO.NS,JSWSTEEL.NS,LICHSGFIN.NS,M&M.NS,MUTHOOTFIN.NS,NMDC.NS,PERSISTENT.NS,SHREECEM.NS,TATASTEEL.NS,TVSMOTOR.NS,WIPRO.NS","AARTIIND.NS,COFORGE.NS,COLPAL.NS,DABUR.NS,DLF.NS,GODREJCP.NS,GODREJPROP.NS,GRASIM.NS,HINDUNILVR.NS,MARICO.NS,MPHASIS.NS,NAVINFLUOR.NS,OBEROIRLTY.NS,PIIND.NS,PRESTIGE.NS,SRF.NS,VINATIORGA.NS",JSWSTEEL.NS:4.0%|EICHERMOT.NS:4.0%|TATASTEEL.NS:4.0%|INFY.NS:4.0%|BAJFINANCE.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-03-28,RL,507869.78,505572.37,-0.452,1.114,22,0.0,64.85,1641.0,22,16,"AARTIIND.NS,APOLLOHOSP.NS,ASHOKLEY.NS,BALAMINES.NS,BPCL.NS,FORTIS.NS,GAIL.NS,ONGC.NS,PETRONET.NS,PIIND.NS,RELIANCE.NS,SRF.NS,VINATIORGA.NS","ACC.NS,AMBUJACEM.NS,BAJAJ-AUTO.NS,COALINDIA.NS,HCLTECH.NS,HINDALCO.NS,INFY.NS,JSWSTEEL.NS,NMDC.NS,PERSISTENT.NS,RAMCOCEM.NS,SHREECEM.NS,TATAELXSI.NS,TATASTEEL.NS,ULTRACEMCO.NS,WIPRO.NS",ASHOKLEY.NS:4.5%|BAJFINANCE.NS:4.5%|EICHERMOT.NS:4.5%|HEROMOTOCO.NS:4.5%|TVSMOTOR.NS:4.5%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-04-21,RL,538756.51,538349.2,-0.076,7.67,22,0.0,10.81,290.93,13,11,"IOC.NS,NAVINFLUOR.NS","ONGC.NS,VINATIORGA.NS",BALAMINES.NS:4.5%|CHOLAFIN.NS:4.5%|HEROMOTOCO.NS:4.5%|EICHERMOT.NS:4.5%|ASHOKLEY.NS:4.5%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-05-19,RL,538650.66,536067.91,-0.479,7.214,22,0.0,68.65,1844.83,18,19,"ADANIPORTS.NS,AIAENG.NS,BHEL.NS,BIOCON.NS,COFORGE.NS,DIVISLAB.NS,GLENMARK.NS,HCLTECH.NS,LT.NS,MPHASIS.NS,PERSISTENT.NS,SIEMENS.NS,TECHM.NS,TORNTPHARM.NS,ZYDUSLIFE.NS","AARTIIND.NS,ASHOKLEY.NS,BALAMINES.NS,BPCL.NS,EICHERMOT.NS,GAIL.NS,HEROMOTOCO.NS,IOC.NS,M&M.NS,NAVINFLUOR.NS,PETRONET.NS,PIIND.NS,RELIANCE.NS,SRF.NS,TVSMOTOR.NS",PERSISTENT.NS:4.5%|SIEMENS.NS:4.5%|HCLTECH.NS:4.5%|LT.NS:4.5%|BAJAJFINSV.NS:4.5%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
