date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_RealEstate,tilt_Healthcare,tilt_Chemicals,tilt_Cement,tilt_Metals,tilt_FinancialServices,tilt_ConsumerDiscretionary,tilt_FMCG,tilt_CapitalGoods,tilt_IT,tilt_Energy,tilt_Telecom,tilt_Pharma,tilt_Automobiles
2015-01-01,RL,500000.0,498248.75,-0.35,-0.35,17,0.0,100.35,1251.25,17,0,"ASHOKLEY.NS,ASIANPAINT.NS,BAJAJFINSV.NS,DABUR.NS,HAVELLS.NS,ICICIBANK.NS,INDUSINDBK.NS,IOC.NS,JSWSTEEL.NS,LT.NS,MARICO.NS,SHREECEM.NS,TECHM.NS,TORNTPHARM.NS,VEDL.NS,WHIRLPOOL.NS,WIPRO.NS",,TECHM.NS:8.0%|SHREECEM.NS:8.0%|HAVELLS.NS:8.0%|JSWSTEEL.NS:8.0%|LT.NS:8.0%,Cement×1.4|Banking×1.3|FinancialServices×1.3,Metals×0.8|Energy×0.8|RealEstate×0.8,1.0,False,1.317,0.842,0.845,1.252,1.4,0.757,1.295,1.166,0.941,1.118,0.928,0.837,0.993,0.981,1.201
2015-01-29,RL,539276.75,538464.23,-0.151,7.693,17,0.0,24.4,580.34,7,13,"FEDERALBNK.NS,PIIND.NS,RELIANCE.NS","ASHOKLEY.NS,LT.NS,WIPRO.NS",TECHM.NS:8.0%|SHREECEM.NS:8.0%|HAVELLS.NS:8.0%|JSWSTEEL.NS:8.0%|BAJAJFINSV.NS:8.0%,ConsumerDiscretionary×1.5|Banking×1.4|Cement×1.3,IT×0.8|Healthcare×0.9|Pharma×0.9,1.0,False,1.353,0.942,0.856,1.179,1.287,0.9,1.163,1.478,0.953,1.173,0.826,0.875,0.909,0.868,1.111
2015-02-26,RL,538464.23,522606.76,-2.945,4.521,18,0.0,15.18,289.52,12,7,"MPHASIS.NS,PIDILITIND.NS",PIIND.NS,TECHM.NS:8.0%|MPHASIS.NS:8.0%|SHREECEM.NS:7.4%|JSWSTEEL.NS:7.4%|BAJAJFINSV.NS:7.4%,ConsumerDiscretionary×1.4|Cement×1.3|Banking×1.3,Telecom×0.8|Energy×0.8|Metals×0.8,1.0,False,1.266,1.202,0.913,1.261,1.268,0.845,1.07,1.368,0.979,1.242,0.899,0.835,0.802,0.88,1.02
2015-03-26,RL,539760.0,539283.54,-0.088,7.857,16,14.93,22.49,340.26,8,11,ABB.NS,"DABUR.NS,HAVELLS.NS,IOC.NS",TECHM.NS:8.2%|MPHASIS.NS:8.2%|JSWSTEEL.NS:7.6%|BAJAJFINSV.NS:7.6%|ASIANPAINT.NS:7.6%,ConsumerDiscretionary×1.5|Chemicals×1.3|FinancialServices×1.2,Healthcare×0.7|Energy×0.9|RealEstate×0.9,0.5,False,0.926,0.894,0.717,1.346,1.021,0.906,1.204,1.459,1.103,1.048,1.129,0.877,0.907,1.138,1.096
2015-04-23,RL,545542.8,544450.94,-0.2,8.89,17,0.0,35.92,779.96,12,8,"ASHOKLEY.NS,HDFCBANK.NS,SUNPHARMA.NS,TCS.NS","JSWSTEEL.NS,TECHM.NS,TORNTPHARM.NS",HDFCBANK.NS:8.0%|ABB.NS:8.0%|WHIRLPOOL.NS:8.0%|ASHOKLEY.NS:8.0%|TCS.NS:8.0%,Chemicals×1.3|IT×1.2,Metals×0.9,1.2,False,0.953,1.044,1.019,1.261,0.951,0.862,0.989,1.09,1.026,1.08,1.193,0.961,0.973,0.931,1.047
2015-05-21,RL,558647.58,558136.93,-0.091,11.627,15,0.0,13.1,364.74,6,12,TVSMOTOR.NS,"INDUSINDBK.NS,MARICO.NS,VEDL.NS",HDFCBANK.NS:7.9%|ABB.NS:7.9%|WHIRLPOOL.NS:7.9%|ASHOKLEY.NS:7.9%|TCS.NS:7.9%,Automobiles×1.2,,1.0,False,0.945,0.965,0.935,1.031,0.996,0.91,0.998,1.077,1.09,1.074,1.072,0.978,1.006,1.026,1.171
2015-06-18,RL,558136.93,551523.52,-1.185,10.305,17,0.0,16.14,412.15,12,7,"AARTIIND.NS,HAVELLS.NS,NESTLEIND.NS,TITAN.NS","ICICIBANK.NS,SHREECEM.NS",SUNPHARMA.NS:8.0%|HDFCBANK.NS:7.8%|ABB.NS:7.8%|WHIRLPOOL.NS:7.8%|ASHOKLEY.NS:7.8%,IT×1.2|Metals×1.1|CapitalGoods×1.1,Healthcare×0.9|Telecom×0.9,1.0,False,1.005,0.94,0.855,1.056,1.0,1.141,1.116,1.019,1.099,1.134,1.171,1.007,0.879,0.951,1.003
2015-07-16,RL,601631.14,600776.22,-0.142,20.155,18,0.0,25.34,610.62,6,14,"LICHSGFIN.NS,ONGC.NS,TECHM.NS","ASIANPAINT.NS,MPHASIS.NS",SUNPHARMA.NS:8.1%|HDFCBANK.NS:7.9%|ABB.NS:7.9%|WHIRLPOOL.NS:7.9%|ASHOKLEY.NS:7.9%,CapitalGoods×1.2|Pharma×1.1|FinancialServices×1.1,Healthcare×0.9,1.2,False,1.007,0.936,0.871,1.021,0.996,0.952,1.121,1.1,1.043,1.16,0.979,1.097,0.922,1.139,0.999
2015-08-13,RL,601167.79,599548.25,-0.269,19.91,20,0.0,39.99,1156.85,11,13,"CHOLAFIN.NS,COFORGE.NS,HINDALCO.NS,ITC.NS,VEDL.NS,WIPRO.NS","HDFCBANK.NS,RELIANCE.NS,SUNPHARMA.NS,TITAN.NS",VEDL.NS:8.0%|HINDALCO.NS:8.0%|ITC.NS:7.4%|WIPRO.NS:7.3%|ABB.NS:7.2%,FinancialServices×1.2|ConsumerDiscretionary×1.2|CapitalGoods×1.2,Healthcare×0.9|RealEstate×0.9,1.2,False,1.118,0.885,0.879,0.946,1.057,0.918,1.172,1.166,1.051,1.151,1.134,0.965,1.065,0.968,0.983
2015-09-10,RL,599548.25,560510.31,-6.511,12.102,18,14.95,14.42,285.38,15,5,,"COFORGE.NS,WIPRO.NS",VEDL.NS:8.0%|HINDALCO.NS:8.0%|ITC.NS:7.4%|ABB.NS:7.2%|WHIRLPOOL.NS:7.2%,Metals×1.4|IT×1.2|ConsumerDiscretionary×1.1,Pharma×0.9|Telecom×0.9,0.5,False,0.97,1.046,0.976,0.9,1.029,1.38,0.972,1.144,1.098,0.992,1.235,1.093,0.886,0.877,0.914
