date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_Energy,tilt_Pharma,tilt_FinancialServices,tilt_Healthcare,tilt_Automobiles,tilt_ConsumerDiscretionary,tilt_CapitalGoods,tilt_RealEstate,tilt_Chemicals,tilt_Metals,tilt_Telecom,tilt_FMCG,tilt_IT,tilt_Cement
2015-01-01,RL,500000.0,498336.31,-0.333,-0.333,26,5.0,95.32,1188.69,26,0,"AARTIIND.NS,BAJAJFINSV.NS,BPCL.NS,COFORGE.NS,CUMMINSIND.NS,DRREDDY.NS,GAIL.NS,GODREJCP.NS,HAVELLS.NS,HCLTECH.NS,INFY.NS,IOC.NS,JSWSTEEL.NS,M&M.NS,NMDC.NS,PETRONET.NS,PIDILITIND.NS,SHREECEM.NS,SIEMENS.NS,SUNPHARMA.NS,TCS.NS,TITAN.NS,VEDL.NS,VOLTAS.NS,WHIRLPOOL.NS,WIPRO.NS",,M&M.NS:3.7%|CUMMINSIND.NS:3.7%|SIEMENS.NS:3.7%|SHREECEM.NS:3.7%|AARTIIND.NS:3.7%,Chemicals×1.5|ConsumerDiscretionary×1.4|FinancialServices×1.4,RealEstate×0.7|Energy×0.8|FMCG×0.8,1.0,False,1.292,0.826,0.927,1.352,1.038,0.928,1.421,1.085,0.655,1.511,0.876,0.954,0.835,1.129,1.169
2015-01-29,RL,522339.35,522004.0,-0.064,4.401,25,0.0,7.64,239.54,8,18,,AARTIIND.NS,BAJAJFINSV.NS:8.0%|COFORGE.NS:7.7%|M&M.NS:3.7%|CUMMINSIND.NS:3.7%|SIEMENS.NS:3.7%,Chemicals×1.5|Cement×1.4|Banking×1.4,Energy×0.7|RealEstate×0.7|Healthcare×0.8,1.0,False,1.365,0.651,0.832,1.358,0.786,1.174,1.355,1.352,0.732,1.458,0.886,1.044,0.922,0.955,1.368
2015-02-26,RL,531562.92,530746.3,-0.154,6.149,23,0.0,21.5,583.31,15,13,"CIPLA.NS,PERSISTENT.NS,PIIND.NS","HAVELLS.NS,INFY.NS,M&M.NS,TCS.NS,VOLTAS.NS",PIDILITIND.NS:8.0%|TITAN.NS:8.0%|GODREJCP.NS:8.0%|BAJAJFINSV.NS:7.6%|COFORGE.NS:7.3%,Chemicals×1.7|FinancialServices×1.4|ConsumerDiscretionary×1.3,Metals×0.7|Energy×0.8|Telecom×0.8,1.0,False,0.977,0.776,0.956,1.405,1.161,1.078,1.34,0.957,1.003,1.65,0.663,0.847,0.913,1.015,1.169
2015-03-26,RL,530746.3,522081.61,-1.633,4.416,20,0.0,14.98,387.04,14,10,BHEL.NS,"CIPLA.NS,PERSISTENT.NS,SIEMENS.NS,VEDL.NS",BHEL.NS:8.0%|PIDILITIND.NS:7.9%|TITAN.NS:7.9%|GODREJCP.NS:7.9%|SUNPHARMA.NS:7.6%,Chemicals×1.6|RealEstate×1.2|Automobiles×1.2,Energy×0.7|IT×0.9,1.0,False,0.985,0.742,1.128,0.983,0.969,1.158,1.151,0.939,1.159,1.587,0.933,1.074,0.965,0.855,0.999
2015-04-23,RL,528901.36,528212.67,-0.13,5.643,19,0.0,18.76,491.92,13,9,"AMBUJACEM.NS,DIVISLAB.NS","CUMMINSIND.NS,HCLTECH.NS,TITAN.NS",BHEL.NS:8.1%|PIDILITIND.NS:8.0%|GODREJCP.NS:8.0%|DRREDDY.NS:8.0%|DIVISLAB.NS:8.0%,Chemicals×1.6|ConsumerDiscretionary×1.5,Metals×0.8|RealEstate×0.9,1.0,False,1.089,0.918,1.099,0.98,0.906,0.983,1.466,0.942,0.873,1.606,0.781,0.978,0.939,1.049,1.089
2015-05-21,RL,543499.39,542220.29,-0.235,8.444,20,0.0,33.57,913.64,10,15,"ABB.NS,BAJFINANCE.NS,COALINDIA.NS,LICHSGFIN.NS,POWERGRID.NS,SAIL.NS","COFORGE.NS,GODREJCP.NS,JSWSTEEL.NS,WHIRLPOOL.NS,WIPRO.NS",BHEL.NS:8.1%|SAIL.NS:8.0%|POWERGRID.NS:8.0%|ABB.NS:8.0%|PIDILITIND.NS:7.9%,Chemicals×1.5|ConsumerDiscretionary×1.2|Pharma×1.1,Energy×0.7|RealEstate×0.9,1.0,False,1.071,0.747,1.123,0.976,1.085,1.097,1.198,1.078,0.895,1.524,0.917,1.092,0.944,0.931,0.956
2015-06-18,RL,542220.29,532626.61,-1.769,6.525,20,0.0,12.45,326.52,13,10,"ASIANPAINT.NS,AUROPHARMA.NS,MARICO.NS","BAJFINANCE.NS,COALINDIA.NS,DIVISLAB.NS",SUNPHARMA.NS:8.0%|MARICO.NS:8.0%|BHEL.NS:7.9%|SAIL.NS:7.8%|POWERGRID.NS:7.8%,ConsumerDiscretionary×1.3|Healthcare×1.2|FinancialServices×1.2,Energy×0.7|IT×0.8|Metals×0.8,1.0,False,1.128,0.749,1.155,1.181,1.235,1.093,1.295,1.176,0.897,1.162,0.847,0.888,1.108,0.839,1.028
2015-07-16,RL,581712.15,581106.29,-0.104,16.221,20,0.0,19.99,432.72,8,15,"ITC.NS,VEDL.NS,VOLTAS.NS","ASIANPAINT.NS,BPCL.NS,DRREDDY.NS",SUNPHARMA.NS:8.1%|MARICO.NS:8.1%|BHEL.NS:8.0%|SAIL.NS:7.9%|POWERGRID.NS:7.9%,Pharma×1.3|Cement×1.3|FMCG×1.2,IT×0.8|RealEstate×0.8|Telecom×0.8,1.2,False,1.063,0.971,1.272,1.137,0.874,1.141,1.096,1.093,0.802,1.096,1.134,0.826,1.181,0.79,1.258
2015-08-13,RL,581106.29,559227.76,-3.765,11.846,19,0.0,24.84,566.98,16,6,"HAVELLS.NS,HINDUNILVR.NS","AUROPHARMA.NS,LICHSGFIN.NS,PIDILITIND.NS",ITC.NS:8.0%|SUNPHARMA.NS:8.0%|AMBUJACEM.NS:8.0%|MARICO.NS:7.5%|BHEL.NS:7.3%,Automobiles×1.3|Cement×1.3|FinancialServices×1.3,RealEstate×0.7|IT×0.8,1.0,False,0.992,0.9,1.047,1.285,1.022,1.348,1.028,1.161,0.665,0.989,0.969,0.988,1.117,0.849,1.286
2015-09-10,RL,559227.76,545620.5,-2.433,9.124,16,14.9,42.04,950.84,13,10,"AUROPHARMA.NS,CIPLA.NS,MPHASIS.NS,PERSISTENT.NS","ABB.NS,HAVELLS.NS,IOC.NS,MARICO.NS,NMDC.NS,PETRONET.NS,SAIL.NS",SUNPHARMA.NS:8.3%|AMBUJACEM.NS:8.3%|BHEL.NS:7.6%|POWERGRID.NS:7.5%|ITC.NS:7.0%,Metals×1.4|ConsumerDiscretionary×1.3|Pharma×1.2,RealEstate×0.8|FinancialServices×0.9|Banking×0.9,0.5,False,0.864,1.091,1.242,0.858,0.937,0.981,1.274,0.895,0.84,1.165,1.406,0.959,0.927,1.082,1.218
2015-10-08,RL,556981.03,556078.68,-0.162,11.216,18,0.0,27.43,644.58,11,9,"GODREJCP.NS,INDUSINDBK.NS,NMDC.NS,WHIRLPOOL.NS","ITC.NS,POWERGRID.NS",SUNPHARMA.NS:8.4%|AMBUJACEM.NS:8.4%|PERSISTENT.NS:7.9%|AUROPHARMA.NS:7.9%|GODREJCP.NS:7.9%,Cement×1.3|FMCG×1.2|ConsumerDiscretionary×1.1,CapitalGoods×0.8|RealEstate×0.9,1.0,False,1.004,0.97,0.943,1.113,1.046,1.074,1.146,0.846,0.86,1.0,0.951,0.965,1.219,0.994,1.342
2015-11-05,RL,557551.79,557410.17,-0.025,11.482,19,0.0,2.36,101.16,13,6,ULTRACEMCO.NS,,SUNPHARMA.NS:8.2%|AMBUJACEM.NS:8.2%|PERSISTENT.NS:7.7%|AUROPHARMA.NS:7.7%|GODREJCP.NS:7.7%,FMCG×1.3|Cement×1.3|Energy×1.1,Metals×0.8|Healthcare×0.9|Telecom×0.9,1.0,False,0.996,1.117,1.0,1.02,0.875,1.109,0.897,0.975,1.03,1.052,0.844,0.888,1.333,1.107,1.281
2015-12-03,RL,557410.17,548680.05,-1.566,9.736,17,0.0,35.5,968.0,11,13,"COALINDIA.NS,COFORGE.NS,JSWSTEEL.NS,NESTLEIND.NS,POWERGRID.NS","GAIL.NS,HINDUNILVR.NS,INDUSINDBK.NS,NMDC.NS,SUNPHARMA.NS,ULTRACEMCO.NS,VOLTAS.NS",NESTLEIND.NS:8.0%|COALINDIA.NS:8.0%|POWERGRID.NS:8.0%|PERSISTENT.NS:7.7%|AUROPHARMA.NS:7.7%,Pharma×1.4|Healthcare×1.2|Automobiles×1.2,Metals×0.8|RealEstate×0.9|Telecom×0.9,1.0,False,0.899,0.937,1.404,1.136,1.202,1.195,0.977,0.963,0.892,1.105,0.794,0.894,1.162,1.086,0.999
2015-12-31,RL,566413.48,564712.68,-0.3,12.943,17,6.31,48.39,1214.82,12,12,"ABB.NS,DABUR.NS,HAVELLS.NS,HINDUNILVR.NS,LICHSGFIN.NS,ONGC.NS,TCS.NS","BHEL.NS,CIPLA.NS,GODREJCP.NS,JSWSTEEL.NS,MPHASIS.NS,PERSISTENT.NS,VEDL.NS",NESTLEIND.NS:8.1%|COALINDIA.NS:8.1%|POWERGRID.NS:8.1%|PIIND.NS:8.0%|BAJAJFINSV.NS:8.0%,Healthcare×1.3|Cement×1.3|Chemicals×1.2,Banking×0.8|Metals×0.8,1.0,False,0.788,0.999,1.025,1.146,1.333,1.146,0.964,0.96,0.977,1.199,0.808,0.907,1.164,0.939,1.303
