date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_Energy,tilt_Pharma,tilt_FinancialServices,tilt_Healthcare,tilt_Automobiles,tilt_ConsumerDiscretionary,tilt_CapitalGoods,tilt_RealEstate,tilt_Chemicals,tilt_Metals,tilt_Telecom,tilt_FMCG,tilt_IT,tilt_Cement
2015-01-01,RL,500000.0,498336.31,-0.333,-0.333,26,5.0,95.32,1188.69,26,0,"AARTIIND.NS,BAJAJFINSV.NS,BPCL.NS,COFORGE.NS,CUMMINSIND.NS,DRREDDY.NS,GAIL.NS,GODREJCP.NS,HAVELLS.NS,HCLTECH.NS,INFY.NS,IOC.NS,JSWSTEEL.NS,M&M.NS,NMDC.NS,PETRONET.NS,PIDILITIND.NS,SHREECEM.NS,SIEMENS.NS,SUNPHARMA.NS,TCS.NS,TITAN.NS,VEDL.NS,VOLTAS.NS,WHIRLPOOL.NS,WIPRO.NS",,M&M.NS:3.7%|CUMMINSIND.NS:3.7%|SIEMENS.NS:3.7%|SHREECEM.NS:3.7%|AARTIIND.NS:3.7%,Chemicals×1.5|ConsumerDiscretionary×1.4|IT×1.3,RealEstate×0.7|Energy×0.8|Metals×0.8,1.0,False,1.224,0.779,0.956,1.278,1.061,0.955,1.438,1.102,0.667,1.545,0.814,0.999,0.815,1.281,1.102
2015-01-29,RL,522339.35,522004.0,-0.064,4.401,25,0.0,7.64,239.54,8,18,,AARTIIND.NS,BAJAJFINSV.NS:8.0%|COFORGE.NS:7.7%|M&M.NS:3.7%|CUMMINSIND.NS:3.7%|SIEMENS.NS:3.7%,Chemicals×1.5|Cement×1.4|CapitalGoods×1.4,Energy×0.6|RealEstate×0.7|Healthcare×0.8,1.0,False,1.331,0.648,0.898,1.317,0.761,1.169,1.31,1.366,0.711,1.484,0.826,1.16,0.953,0.952,1.366
2015-02-26,RL,531562.92,530771.41,-0.149,6.154,24,0.0,20.82,565.37,15,13,"CIPLA.NS,PERSISTENT.NS,PIIND.NS","INFY.NS,M&M.NS,TCS.NS,VOLTAS.NS",PIDILITIND.NS:8.0%|TITAN.NS:8.0%|GODREJCP.NS:8.0%|BAJAJFINSV.NS:7.6%|COFORGE.NS:7.3%,Chemicals×1.7|FinancialServices×1.4|ConsumerDiscretionary×1.3,Metals×0.6|Energy×0.8|Telecom×0.8,1.0,False,0.974,0.765,0.949,1.376,1.214,1.041,1.315,0.965,1.025,1.748,0.646,0.844,0.896,1.02,1.184
2015-03-26,RL,530771.41,522982.59,-1.467,4.597,20,0.0,14.49,380.11,14,11,BHEL.NS,"CIPLA.NS,HAVELLS.NS,PERSISTENT.NS,SIEMENS.NS,VEDL.NS",BHEL.NS:8.0%|PIDILITIND.NS:7.9%|TITAN.NS:7.9%|GODREJCP.NS:7.9%|BAJAJFINSV.NS:7.5%,Chemicals×1.6|RealEstate×1.1|ConsumerDiscretionary×1.1,Energy×0.8|IT×0.9,1.0,False,0.985,0.767,1.123,0.989,0.977,1.111,1.127,0.948,1.147,1.633,0.908,1.086,0.954,0.863,0.994
2015-04-23,RL,529248.95,528487.81,-0.144,5.698,19,0.0,20.5,543.67,13,9,"AMBUJACEM.NS,DIVISLAB.NS","CUMMINSIND.NS,HCLTECH.NS,TITAN.NS",BHEL.NS:8.1%|DRREDDY.NS:8.0%|PIDILITIND.NS:8.0%|GODREJCP.NS:8.0%|BAJAJFINSV.NS:7.6%,Chemicals×1.5|ConsumerDiscretionary×1.5|Cement×1.2,Metals×0.7|Energy×0.8|RealEstate×0.9,1.0,False,1.156,0.849,1.103,0.968,0.912,1.087,1.455,0.937,0.864,1.549,0.745,0.989,0.919,1.068,1.218
2015-05-21,RL,543269.38,541995.86,-0.234,8.399,20,0.0,33.65,909.65,11,14,"ABB.NS,BAJFINANCE.NS,COALINDIA.NS,LICHSGFIN.NS,POWERGRID.NS,SAIL.NS","COFORGE.NS,GODREJCP.NS,JSWSTEEL.NS,WHIRLPOOL.NS,WIPRO.NS",BHEL.NS:8.0%|SUNPHARMA.NS:8.0%|SAIL.NS:8.0%|POWERGRID.NS:8.0%|ABB.NS:8.0%,Chemicals×1.5|ConsumerDiscretionary×1.3|Telecom×1.2,Energy×0.7|IT×0.9,1.0,False,1.057,0.727,1.128,0.995,0.997,1.116,1.273,1.046,0.931,1.518,0.93,1.191,0.942,0.867,0.945
2015-06-18,RL,541995.86,531403.42,-1.954,6.281,19,0.0,11.29,290.97,12,10,"ASIANPAINT.NS,MARICO.NS","BAJFINANCE.NS,COALINDIA.NS,DIVISLAB.NS",MARICO.NS:8.0%|BHEL.NS:7.9%|SUNPHARMA.NS:7.8%|SAIL.NS:7.8%|POWERGRID.NS:7.8%,ConsumerDiscretionary×1.4|Healthcare×1.2|FinancialServices×1.2,Energy×0.8|Metals×0.8|IT×0.8,1.0,False,1.117,0.75,1.144,1.203,1.221,1.133,1.394,1.196,0.912,1.202,0.786,0.863,1.17,0.797,1.005
2015-07-16,RL,582417.28,581761.47,-0.113,16.352,17,0.0,21.44,468.4,6,15,"ITC.NS,VOLTAS.NS","ASIANPAINT.NS,BPCL.NS,DRREDDY.NS,LICHSGFIN.NS",MARICO.NS:8.2%|BHEL.NS:8.0%|SUNPHARMA.NS:8.0%|SAIL.NS:8.0%|POWERGRID.NS:8.0%,Pharma×1.4|FinancialServices×1.3|Automobiles×1.3,Telecom×0.8|IT×0.8|RealEstate×0.8,1.2,False,1.044,0.948,1.364,1.271,0.833,1.255,1.212,1.048,0.789,1.076,1.0,0.772,1.253,0.777,1.239
2015-08-13,RL,581761.47,558682.64,-3.967,11.737,19,0.0,20.01,418.85,17,3,"HAVELLS.NS,HINDUNILVR.NS,MUTHOOTFIN.NS",PIDILITIND.NS,AMBUJACEM.NS:8.0%|SUNPHARMA.NS:8.0%|ITC.NS:8.0%|MARICO.NS:7.5%|BHEL.NS:7.3%,Automobiles×1.4|FinancialServices×1.4|CapitalGoods×1.3,RealEstate×0.7|IT×0.8|Energy×0.8,1.0,False,0.979,0.843,1.102,1.379,0.978,1.421,0.998,1.277,0.709,0.968,0.948,0.945,1.181,0.825,1.252
2015-09-10,RL,558682.64,542716.94,-2.858,8.543,17,14.86,39.83,898.42,15,9,"AUROPHARMA.NS,CIPLA.NS,MPHASIS.NS,PERSISTENT.NS,VEDL.NS","ABB.NS,HAVELLS.NS,IOC.NS,MARICO.NS,NMDC.NS,PETRONET.NS,SAIL.NS",AMBUJACEM.NS:8.3%|SUNPHARMA.NS:8.3%|PERSISTENT.NS:7.9%|MPHASIS.NS:7.9%|ITC.NS:7.6%,Metals×1.4|Chemicals×1.3|Cement×1.3,Banking×0.8|RealEstate×0.8|CapitalGoods×0.8,0.5,False,0.83,1.006,1.147,0.85,0.931,0.973,1.164,0.849,0.837,1.323,1.438,0.995,0.979,1.172,1.263
